,track_name,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
97,Jar of Hearts,Pop,0.726,0.349,0.348,0.0,0.12,-6.142,0.0316,74.541,0.0886,Cluster 4
98,Somewhere Only We Know,Pop,0.935,0.314,0.28600000000000003,0.0258,0.0999,-10.191,0.035,172.021,0.278,Cluster 3
99,Chasing Pavements,Pop,0.325,0.615,0.472,0.0,0.115,-6.073,0.0267,80.072,0.327,Cluster 4
100,Counting Stars,Pop,0.066,0.665,0.7,0.0,0.119,-4.9460000000000015,0.042,121.961,0.473,Cluster 1
101,Wrecking Ball,Pop,0.395,0.466,0.403,0.0,0.111,-6.142,0.0337,119.81,0.337,Cluster 1
102,Diamonds,Pop,0.00117,0.5529999999999999,0.674,0.0,0.16,-6.057,0.045,91.958,0.369,Cluster 2
103,E.T.,Pop,0.0213,0.603,0.872,0.0,0.366,-5.404,0.0792,150.10399999999996,0.691,Cluster 3
104,Problem,Pop,0.0226,0.66,0.7979999999999999,2.2e-05,0.103,-5.3260000000000005,0.162,103.022,0.627,Cluster 2
105,Rather Be (feat. Jess Glynne),Pop,0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,120.97,0.5489999999999999,Cluster 1
106,Thrift Shop (feat. Wanz),Pop,0.0619,0.7809999999999999,0.526,0.0,0.0457,-6.985,0.293,94.992,0.662,Cluster 2
107,TiK ToK,Pop,0.0746,0.755,0.8320000000000001,1.27e-06,0.29100000000000004,-2.741,0.116,120.032,0.735,Cluster 1
108,Say Something,Pop,0.872,0.447,0.158,1.58e-06,0.0816,-7.5710000000000015,0.036000000000000004,140.942,0.142,Cluster 1
109,Hot N Cold,Pop,8.1e-05,0.7020000000000001,0.8390000000000001,0.0,0.07200000000000001,-3.992,0.0439,132.007,0.856,Cluster 1
110,Royals,Pop,0.106,0.616,0.4320000000000001,0.0,0.132,-9.546,0.133,84.77799999999998,0.302,Cluster 4
111,Pompeii,Pop,0.0749,0.6809999999999999,0.7090000000000001,0.0,0.266,-6.488,0.041,127.44,0.591,Cluster 1
